Date,positions
2014-09-04,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.53}]"
2014-09-05,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.740000000000002}]"
2014-09-08,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.59}]"
2014-09-09,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.5}]"
2014-09-10,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.25}]"
2014-09-11,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.36}]"
2014-09-12,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.42}]"
2014-09-15,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.41}]"
2014-09-16,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.22}]"
2014-09-17,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.400000000000002}]"
2014-09-18,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.45}]"
2014-09-19,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.240000000000002}]"
2014-09-22,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.26}]"
2014-09-23,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.66}]"
2014-09-24,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.44}]"
2014-09-25,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.47}]"
2014-09-26,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.19}]"
2014-09-29,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.03}]"
2014-09-30,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.19}]"
2014-10-01,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.8}]"
2014-10-02,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.98}]"
2014-10-03,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.91}]"
2014-10-06,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.91}]"
2014-10-07,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.69}]"
2014-10-08,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.2}]"
2014-10-09,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.25}]"
2014-10-10,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 25.18}]"
2014-10-13,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.95}]"
2014-10-14,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.69}]"
2014-10-15,"[{'sid': Equity(2 [AAPL]), 'amount': 1167, 'cost_basis': 15.155257646787815, 'last_sale_price': 24.39}]"
2014-10-16,"[{'sid': Equity(2 [AAPL]), 'amount': 918, 'cost_basis': 15.15607137227801, 'last_sale_price': 24.07}]"
2014-10-17,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 24.42}]"
2014-10-20,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 24.94}]"
2014-10-21,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 25.62}]"
2014-10-22,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 25.75}]"
2014-10-23,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 26.21}]"
2014-10-24,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 26.310000000000002}]"
2014-10-27,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 26.28}]"
2014-10-28,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 26.68}]"
2014-10-29,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 26.830000000000002}]"
2014-10-30,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 26.75}]"
2014-10-31,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 27.0}]"
2014-11-03,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 27.35}]"
2014-11-04,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 27.150000000000002}]"
2014-11-05,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 27.22}]"
2014-11-06,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 27.17}]"
2014-11-07,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 27.25}]"
2014-11-10,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 27.21}]"
2014-11-11,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 27.42}]"
2014-11-12,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 27.810000000000002}]"
2014-11-13,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 28.2}]"
2014-11-14,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 28.55}]"
2014-11-17,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 28.5}]"
2014-11-18,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 28.87}]"
2014-11-19,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 28.67}]"
2014-11-20,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 29.080000000000002}]"
2014-11-21,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 29.12}]"
2014-11-24,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 29.66}]"
2014-11-25,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 29.400000000000002}]"
2014-11-26,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 29.75}]"
2014-11-28,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 29.73}]"
2014-12-01,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 28.77}]"
2014-12-02,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 28.66}]"
2014-12-03,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 28.98}]"
2014-12-04,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 28.87}]"
2014-12-05,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 28.75}]"
2014-12-08,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 28.1}]"
2014-12-09,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 28.53}]"
2014-12-10,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 27.990000000000002}]"
2014-12-11,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 27.91}]"
2014-12-12,"[{'sid': Equity(2 [AAPL]), 'amount': 926, 'cost_basis': 15.236131230832845, 'last_sale_price': 27.43}]"
2014-12-15,"[{'sid': Equity(2 [AAPL]), 'amount': 836, 'cost_basis': 15.236454197340022, 'last_sale_price': 27.060000000000002}]"
2014-12-16,"[{'sid': Equity(2 [AAPL]), 'amount': 844, 'cost_basis': 15.345047048550068, 'last_sale_price': 26.69}]"
2014-12-17,"[{'sid': Equity(2 [AAPL]), 'amount': 853, 'cost_basis': 15.471742917908859, 'last_sale_price': 27.35}]"
2014-12-18,"[{'sid': Equity(2 [AAPL]), 'amount': 853, 'cost_basis': 15.471742917908859, 'last_sale_price': 28.16}]"
2014-12-19,"[{'sid': Equity(2 [AAPL]), 'amount': 853, 'cost_basis': 15.471742917908859, 'last_sale_price': 27.94}]"
2014-12-22,"[{'sid': Equity(2 [AAPL]), 'amount': 853, 'cost_basis': 15.471742917908859, 'last_sale_price': 28.240000000000002}]"
2014-12-23,"[{'sid': Equity(2 [AAPL]), 'amount': 853, 'cost_basis': 15.471742917908859, 'last_sale_price': 28.14}]"
2014-12-24,"[{'sid': Equity(2 [AAPL]), 'amount': 853, 'cost_basis': 15.471742917908859, 'last_sale_price': 28.0}]"
2014-12-26,"[{'sid': Equity(2 [AAPL]), 'amount': 853, 'cost_basis': 15.471742917908859, 'last_sale_price': 28.5}]"
2014-12-29,"[{'sid': Equity(2 [AAPL]), 'amount': 853, 'cost_basis': 15.471742917908859, 'last_sale_price': 28.48}]"
2014-12-30,"[{'sid': Equity(2 [AAPL]), 'amount': 853, 'cost_basis': 15.471742917908859, 'last_sale_price': 28.13}]"
2014-12-31,"[{'sid': Equity(2 [AAPL]), 'amount': 853, 'cost_basis': 15.471742917908859, 'last_sale_price': 27.59}]"
2015-01-02,"[{'sid': Equity(2 [AAPL]), 'amount': 853, 'cost_basis': 15.471742917908859, 'last_sale_price': 27.330000000000002}]"
2015-01-05,"[{'sid': Equity(2 [AAPL]), 'amount': 853, 'cost_basis': 15.471742917908859, 'last_sale_price': 26.560000000000002}]"
2015-01-06,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 26.57}]"
2015-01-07,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 26.94}]"
2015-01-08,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 27.97}]"
2015-01-09,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 28.0}]"
2015-01-12,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 27.310000000000002}]"
2015-01-13,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 27.560000000000002}]"
2015-01-14,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 27.45}]"
2015-01-15,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 26.7}]"
2015-01-16,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 26.5}]"
2015-01-20,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 27.18}]"
2015-01-21,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 27.39}]"
2015-01-22,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 28.1}]"
2015-01-23,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 28.25}]"
2015-01-26,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 28.27}]"
2015-01-27,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 27.28}]"
2015-01-28,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 28.830000000000002}]"
2015-01-29,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 29.73}]"
2015-01-30,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 29.29}]"
2015-02-02,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 29.66}]"
2015-02-03,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 29.66}]"
2015-02-04,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 29.89}]"
2015-02-05,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 29.990000000000002}]"
2015-02-06,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 29.73}]"
2015-02-09,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 29.93}]"
2015-02-10,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 30.5}]"
2015-02-11,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.220000000000002}]"
2015-02-12,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.61}]"
2015-02-13,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.77}]"
2015-02-17,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.96}]"
2015-02-18,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.18}]"
2015-02-19,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.11}]"
2015-02-20,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.38}]"
2015-02-23,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 33.25}]"
2015-02-24,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 33.04}]"
2015-02-25,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.2}]"
2015-02-26,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.6}]"
2015-02-27,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.12}]"
2015-03-02,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.27}]"
2015-03-03,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.34}]"
2015-03-04,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.13}]"
2015-03-05,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.6}]"
2015-03-06,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.650000000000002}]"
2015-03-09,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.78}]"
2015-03-10,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.13}]"
2015-03-11,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 30.560000000000002}]"
2015-03-12,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.11}]"
2015-03-13,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 30.900000000000002}]"
2015-03-16,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.240000000000002}]"
2015-03-17,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.76}]"
2015-03-18,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.12}]"
2015-03-19,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.88}]"
2015-03-20,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.48}]"
2015-03-23,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.8}]"
2015-03-24,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.67}]"
2015-03-25,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 30.84}]"
2015-03-26,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.060000000000002}]"
2015-03-27,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 30.810000000000002}]"
2015-03-30,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.59}]"
2015-03-31,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.11}]"
2015-04-01,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.060000000000002}]"
2015-04-02,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.330000000000002}]"
2015-04-06,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.84}]"
2015-04-07,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.5}]"
2015-04-08,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.400000000000002}]"
2015-04-09,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.64}]"
2015-04-10,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.77}]"
2015-04-13,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.71}]"
2015-04-14,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.580000000000002}]"
2015-04-15,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.69}]"
2015-04-16,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.54}]"
2015-04-17,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.19}]"
2015-04-20,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.900000000000002}]"
2015-04-21,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.73}]"
2015-04-22,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.15}]"
2015-04-23,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.42}]"
2015-04-24,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.57}]"
2015-04-27,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 33.160000000000004}]"
2015-04-28,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.64}]"
2015-04-29,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.160000000000004}]"
2015-04-30,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.29}]"
2015-05-01,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.24}]"
2015-05-04,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.17}]"
2015-05-05,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.45}]"
2015-05-06,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.25}]"
2015-05-07,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.32}]"
2015-05-08,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.91}]"
2015-05-11,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.580000000000002}]"
2015-05-12,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.470000000000002}]"
2015-05-13,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.5}]"
2015-05-14,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.24}]"
2015-05-15,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.19}]"
2015-05-18,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.55}]"
2015-05-19,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.52}]"
2015-05-20,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.51}]"
2015-05-21,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.85}]"
2015-05-22,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 33.13}]"
2015-05-26,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.4}]"
2015-05-27,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 33.01}]"
2015-05-28,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.94}]"
2015-05-29,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.57}]"
2015-06-01,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.63}]"
2015-06-02,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.49}]"
2015-06-03,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.53}]"
2015-06-04,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.34}]"
2015-06-05,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.160000000000004}]"
2015-06-08,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.95}]"
2015-06-09,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.85}]"
2015-06-10,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.22}]"
2015-06-11,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 32.15}]"
2015-06-12,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.79}]"
2015-06-15,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.73}]"
2015-06-16,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.900000000000002}]"
2015-06-17,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.830000000000002}]"
2015-06-18,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.970000000000002}]"
2015-06-19,"[{'sid': Equity(2 [AAPL]), 'amount': 857, 'cost_basis': 15.523557420042309, 'last_sale_price': 31.650000000000002}]"
