Date,positions
2013-04-29,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.36}]"
2013-04-30,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.81}]"
2013-05-01,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.69}]"
2013-05-02,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.91}]"
2013-05-03,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.07}]"
2013-05-06,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.45}]"
2013-05-07,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.38}]"
2013-05-08,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.57}]"
2013-05-09,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.31}]"
2013-05-10,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.18}]"
2013-05-13,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.240000000000002}]"
2013-05-14,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.85}]"
2013-05-15,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.32}]"
2013-05-16,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.52}]"
2013-05-17,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.47}]"
2013-05-20,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.82}]"
2013-05-21,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.700000000000001}]"
2013-05-22,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.76}]"
2013-05-23,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.790000000000001}]"
2013-05-24,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.9}]"
2013-05-28,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.77}]"
2013-05-29,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.89}]"
2013-05-30,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.13}]"
2013-05-31,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.06}]"
2013-06-03,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.1}]"
2013-06-04,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.05}]"
2013-06-05,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.9}]"
2013-06-06,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.66}]"
2013-06-07,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.780000000000001}]"
2013-06-10,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.67}]"
2013-06-11,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.63}]"
2013-06-12,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.44}]"
2013-06-13,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.57}]"
2013-06-14,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.36}]"
2013-06-17,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.43}]"
2013-06-18,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.42}]"
2013-06-19,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.11}]"
2013-06-20,"[{'sid': Equity(2 [AAPL]), 'amount': 1327, 'cost_basis': 14.955218485800843, 'last_sale_price': 14.89}]"
2013-06-21,"[{'sid': Equity(2 [AAPL]), 'amount': 1341, 'cost_basis': 14.953316130244385, 'last_sale_price': 14.77}]"
2013-06-24,"[{'sid': Equity(2 [AAPL]), 'amount': 1350, 'cost_basis': 14.949514022709419, 'last_sale_price': 14.38}]"
2013-06-25,"[{'sid': Equity(2 [AAPL]), 'amount': 1380, 'cost_basis': 14.937198500476608, 'last_sale_price': 14.38}]"
2013-06-26,"[{'sid': Equity(2 [AAPL]), 'amount': 1380, 'cost_basis': 14.937198500476608, 'last_sale_price': 14.22}]"
2013-06-27,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 14.06}]"
2013-06-28,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 14.16}]"
2013-07-01,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 14.61}]"
2013-07-02,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 14.950000000000001}]"
2013-07-03,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.030000000000001}]"
2013-07-05,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 14.91}]"
2013-07-08,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 14.82}]"
2013-07-09,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.08}]"
2013-07-10,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.030000000000001}]"
2013-07-11,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.26}]"
2013-07-12,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.23}]"
2013-07-15,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.27}]"
2013-07-16,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.36}]"
2013-07-17,"[{'sid': Equity(2 [AAPL]), 'amount': 1392, 'cost_basis': 14.929662306506982, 'last_sale_price': 15.370000000000001}]"
